Potência,Concessionária,Cliente,Nome do Projeto,2026-01-01 00:00:00,2026-02-01 00:00:00,2026-03-01 00:00:00,2026-04-01 00:00:00,2026-05-01 00:00:00,2026-06-01 00:00:00,2026-07-01 00:00:00,2026-08-01 00:00:00,2026-09-01 00:00:00,2026-10-01 00:00:00,2026-11-01 00:00:00,2026-12-01 00:00:00,Total,,Forecast 5+7,V3,Dif MWh,Produção Específica (MWh/MWp/ano)
1.31875,COPEL,TELMO,Planalto V,219.47,235.82,233.63,211.5,178.41,156.75,166.92,214.54,196.24,239.23,253.2,265.42,2571.1299999999997,,2568.11,2665.54,-0.0011745808263290414,1949.6720379146916
1.935,CELPE,NOVASOL,Frevo 082,329.52,315.99,328.35,329.59,333.04,325.69,357.31,418.4,392.97,432.53,370.17,348.45,4282.01,,4421.3,4421.3,0.032529115999262004,2212.9250645994834
1.29,CELPE,NEXUS,Frevo 101,233.8,218.85,244.2,211.39,180.34,172,176.73,210.54,216.1,253.11,248.03,243,2608.09,,2674.5,2674.5,0.025463078344688972,2021.7751937984497
1.29,CELPE,NOVASOL,Frevo 102,241.84,205.54,245.36,213.2,201.2,175.38,189.95,200.86,206.78,242.45,249.09,243.8,2615.4500000000003,,2694.1,2694.1,0.030071307040853146,2027.4806201550389
6.102,COPEL,VERTA,Pantanal,1079,937.15,1141.6,1012.2,837.15,785.01,820.94,1061.9,1067.4,1140.5,1199.5,1219.6,12301.949999999999,,12478.81,12958.16,0.014376582574307406,2016.0521140609633
6.102,COPEL,VERTA,Alvorada,1154.6,1029.8,1161.6,1030.4,852.85,758.46,870.14,978.05,1048.1,1155.7,1183.8,1032.5,12256,,12367.52,12906.92,0.009099216710182878,2008.5217961324156
3.2,CEEE,HIDRUS,Coqueiro 1,679.1,597.6,561.03,439.8,314.67,269.7,294.71,382.24,427.24,558.47,654.18,717.33,5896.070000000001,,6055.1,6055.1,0.026972203518614846,1842.5218750000001
3.08,EMS,NEXUS,Cachoeira,559.7,501.15,512.75,522.79,486.88,441.74,471.12,561.92,542.66,567.37,571.78,578.72,6318.58,,6353.52,6535.450000000001,0.0055297234505222725,2051.487012987013
3.298,EMS,TELMO,Horizonte I,574.61,556.55,594.47,528.52,512.49,472.66,496.38,604.11,584.61,584.33,572.83,619.11,6700.669999999998,,6675.910000000001,6920.800000000001,-0.0036951528727720007,2031.7374166161305
1.608,EMS,TELMO,Horizonte II,286.48,278.12,278.81,264.29,254.26,235.67,243.77,302.15,292.43,281.09,300.9,306.03,3324,,3316.5499999999997,3436.7299999999996,-0.002241275571600587,2067.1641791044776
